lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
blend,1916,blend,blEnd,7,4,3,5,2,blend,1,5,321,6,11,9,218,4052,234,9685398,6,1
well,18894,well,wEl,31,22,9,20,11,well,1,3,391,5,131,36,152523,350260,173958,362103243,4,1
learn,9751,learn,lRn,16,14,2,13,3,learn,1,3,409,6,92,12,6047,34036,6280,179431965,4,1
card,2638,card,kard,15,13,2,10,5,card,1,4,529,5,73,30,4357,17668,3388,181392776,5,1
class,3251,class,kl@s,12,10,2,3,9,class,1,4,469,6,49,20,5985,52264,7136,191106038,5,1
vice,18517,vice,vYs,16,14,2,10,6,vice,1,3,418,5,62,27,950,21532,8967,32223701,4,1
mob,10985,mob,mab,15,14,1,10,5,mob,1,3,349,4,69,33,660,2437,859,3601851,4,1
at,1203,at,@t,31,12,19,23,8,at,1,2,320,3,85,73,164072,1238967,247370,2272272772,3,1
indoor,8674,indoor,Indor,3,1,2,1,2,indoor,2,5,389,7,3,1,68,2603,146,13875813,6,1
written,19210,written,rItN,8,6,2,5,3,written,2,5,479,5,59,4,2247,26388,5182,98056850,6,1
lark,9671,lark,lark,11,9,2,7,4,lark,1,4,351,5,46,22,83,423,28,972888,5,1
kennel,9463,kennel,kEnL,4,3,1,2,2,kennel,2,5,345,7,51,8,57,314,58,1954777,6,1
little,10022,little,lItL,6,3,3,3,3,little,2,5,379,7,35,12,73766,178500,54969,187153377,6,1
weave,18875,weave,wiv,16,13,3,9,7,weave,1,3,419,6,59,12,105,1245,73,1965230,4,1
wither,19103,wither,wIDX,9,7,2,6,3,wither,2,4,348,7,29,19,47,258,29,340249,5,1
refer,14432,refer,rIfR,3,2,1,1,2,refer,2,4,452,6,31,17,374,4830,651,27107953,5,1
tide,17345,tide,tYd,22,17,5,10,12,tide,1,3,429,5,79,24,375,3350,450,6706726,4,1
latin,9695,Latin,l@tN,8,6,2,7,1,latin,2,5,357,6,57,14,561,9750,921,36551294,6,
nut,11756,nut,n^t,25,23,2,18,7,nut,1,3,357,4,63,23,797,1967,306,6459502,4,1
noun,11700,noun,nWn,8,7,1,7,1,noun,1,3,369,5,31,9,27,432,29,3837137,4,1
itch,9255,itch,IC,18,10,8,11,7,itch,1,2,331,5,57,15,213,599,63,993863,3,1
slur,15844,slur,slR,9,8,1,3,6,slur,1,3,511,5,85,12,24,248,69,252466,4,1
thai,17190,Thai,tY,34,22,12,18,16,thai,1,2,355,5,126,19,167,2063,175,13729139,3,
vilify,18556,vilify,vIlxfY,2,1,1,1,1,vilify,3,6,618,7,0,1,8,86,30,56266,5,2
hole,7959,hole,hol,31,28,3,22,9,hole,1,3,519,5,142,50,2969,13106,1570,26202887,4,1
wine,19073,wine,wYn,30,26,4,21,9,wine,1,3,439,5,118,46,3078,16427,1386,58493416,4,1
lame,9618,lame,lem,28,23,5,18,10,lame,1,3,364,5,87,41,557,1120,359,3018425,4,1
harangue,7647,harangue,hX@G,2,1,1,1,1,harangue,2,4,463,9,11,2,4,107,16,62839,5,1
change,2927,change,CenJ,3,2,1,2,1,change,1,4,508,7,17,7,12258,80896,18784,210606359,5,1
folk,6620,folk,fok,16,13,3,10,6,folk,1,3,399,5,70,16,365,4504,508,15400730,4,1
stand,16276,stand,st@nd,3,1,2,2,1,stand,1,5,602,6,25,12,11536,35044,9303,46296102,6,1
hazel,7714,hazel,hezL,3,2,1,1,2,hazel,2,5,477,6,12,12,55,1067,99,2843086,6,1
slump,15841,slump,sl^mp,5,3,2,4,1,slump,1,5,377,6,16,12,61,1054,118,878659,6,1
cooper,3922,cooper,kupX,6,5,1,3,3,cooper,2,4,442,7,47,18,887,5110,1108,12476378,5,
bloater,1935,bloater,blotX,2,1,1,1,1,bloater,2,5,668,7,11,3,2,1,0,11706,5,2
old,11904,old,old,11,1,10,10,1,old,1,3,393,4,53,25,31056,158200,32125,199709349,4,1
such,16623,such,s^C,12,11,1,6,6,such,1,3,460,5,39,17,14852,206546,16825,380733306,4,1
arrow,1065,arrow,@ro,18,11,7,16,2,arrow,2,3,298,6,101,16,400,2410,110,11564588,4,1
slab,15769,slab,sl@b,11,10,1,4,7,slab,1,4,489,5,20,18,94,1021,42,2092957,5,1
mortal,11163,mortal,mortL,7,4,3,4,3,mortal,2,6,411,7,19,5,488,1323,123,2888221,7,1
plan,13096,plan,pl@n,8,6,2,2,6,plan,1,4,458,5,39,24,7432,52927,15142,160755405,5,1
case,2701,case,kes,22,19,3,12,10,case,1,3,362,5,100,44,14403,98299,33259,235573247,4,1
beak,1633,beak,bik,28,23,5,19,9,beak,1,3,364,5,136,27,107,613,25,561383,4,1
fright,6809,fright,frYt,13,9,4,7,6,fright,1,4,459,7,30,7,141,539,77,819010,5,1
wrist,19203,wrist,rIst,16,11,5,11,5,wrist,1,4,391,6,63,14,527,3655,250,6143580,5,1
roost,14914,roost,rust,7,5,2,5,2,roost,1,4,484,6,30,10,45,471,45,608008,5,1
wash,18822,wash,wcS,7,4,3,2,5,wash,1,3,418,5,51,31,2077,7064,663,12614330,4,1
pine,13016,pine,pYn,30,26,4,22,8,pine,1,3,407,5,80,38,316,5258,211,13844240,4,1
red,14408,red,rEd,29,21,8,21,8,red,1,3,358,4,110,50,7551,53727,5891,140812404,4,1
truffle,17787,truffle,tr^fL,4,3,1,2,2,truffle,2,6,382,8,7,2,23,280,14,537610,7,
ace,157,ace,es,22,12,10,14,8,ace,1,2,406,4,86,42,751,2970,120,11140861,3,1
ring,14838,ring,rIG,23,21,2,11,12,ring,1,3,509,5,82,39,4730,12222,1864,54346434,4,1
leapt,9750,leapt,lipt,4,2,2,1,3,leapt,1,4,509,5,23,4,45,949,39,415235,5,1
foam,6606,foam,fom,16,13,3,10,6,foam,1,3,388,5,46,9,179,2377,206,8921687,4,1
gland,7196,gland,gl@nd,5,3,2,3,2,gland,1,5,490,6,14,13,77,807,58,2561568,6,1
sheathe,15546,sheathe,SiD,11,9,2,3,8,sheathe,1,3,402,8,37,2,5,4,0,14350,4,1
dolt,5167,dolt,dolt,10,8,2,7,3,dolt,1,4,334,5,34,20,27,45,7,87178,5,1
job,9345,job,Jab,19,18,1,13,6,job,1,3,388,4,53,24,21063,72084,21065,177720493,4,1
vest,18482,vest,vEst,19,16,3,14,5,vest,1,4,413,5,45,27,284,1568,208,3720750,5,1
city,3216,city,sIti,7,6,1,5,2,city,2,4,365,5,42,4,8624,110435,20881,390573240,5,1
dear,4485,dear,dIr,29,27,2,21,8,dear,1,3,318,5,97,37,11395,8260,1181,20614145,4,1
lid,9894,lid,lId,23,21,2,16,7,lid,1,3,489,4,84,39,251,2714,185,5788240,4,1
burn,2349,burn,bRn,22,18,4,13,9,burn,1,3,394,5,155,28,2816,6706,1206,13609561,4,1
solemn,15958,solemn,salxm,2,1,1,1,1,solemn,2,5,438,7,22,2,112,1019,129,1101329,6,1
tome,17457,tome,tom,22,20,2,14,8,tome,1,3,300,5,65,30,39,343,14,4284389,4,1
wish,19092,wish,wIS,13,11,2,5,8,wish,1,3,352,5,72,26,11991,17820,4726,74054528,4,1
fail,6172,fail,fel,37,33,4,28,9,fail,1,3,440,5,135,33,1254,7954,1458,30146568,4,1
cook,3914,cook,kUk,15,13,2,13,2,cook,1,3,354,5,57,25,2324,18139,1603,24413307,4,1
fatal,6253,fatal,fetL,7,5,2,3,4,fatal,2,5,360,6,9,7,362,3232,719,6786528,6,2
skit,15764,skit,skIt,14,12,2,4,10,skit,1,4,479,5,33,15,42,217,74,629356,5,1
muss,11301,muss,m^s,25,21,4,13,12,muss,1,3,486,5,83,31,31,53,11,416545,4,
each,5402,each,iC,14,8,6,8,6,each,1,2,419,5,57,21,12916,157869,15531,340897028,3,1
ante,785,ante,@nti,5,1,4,2,3,ante,2,4,417,5,34,20,111,757,140,1994218,5,1
hurtle,8143,hurtle,hRtL,6,5,1,4,2,hurtle,2,5,314,6,26,6,1,54,0,48093,5,1
trail,17577,trail,trel,13,10,3,5,8,trail,1,4,485,6,35,10,979,13197,1626,23650382,5,1
few,6363,few,fyu,12,6,6,7,5,few,1,3,521,4,53,28,15393,123736,21412,135137447,4,1
tail,16932,tail,tel,30,26,4,26,4,tail,1,3,394,5,117,29,1219,5452,595,10557843,4,1
fame,6199,fame,fem,24,19,5,14,10,fame,1,3,380,5,63,28,441,5747,1183,10968010,4,1
weak,18855,weak,wik,22,19,3,16,6,weak,1,3,489,5,109,17,1607,9178,1478,13348085,4,1
cog,3405,cog,kag,12,11,1,4,8,cog,1,3,417,4,42,35,27,233,17,1066034,4,1
set,15482,set,sEt,32,24,8,22,10,set,1,3,373,4,94,45,11805,90580,14204,313477521,4,1
attack,1238,attack,xt@k,4,3,1,3,1,attack,2,4,464,7,15,2,3853,24857,8734,35602466,5,1
tray,17657,tray,tre,19,11,8,9,10,tray,1,3,479,5,48,23,410,2620,108,7753730,4,1
lion,9975,lion,lY|n,5,2,3,4,1,lion,2,4,354,5,53,24,783,3327,441,11536320,5,1
swarm,16794,swarm,sworm,6,4,2,2,4,swarm,1,5,552,6,9,7,68,869,74,1158415,6,1
sour,16025,sour,sWr,10,7,3,7,3,sour,2,3,589,5,57,32,297,3302,309,3759025,4,1
beaten,1644,beaten,bitN,6,4,2,4,2,beaten,2,5,539,6,52,8,611,4367,1002,4346610,5,1
jab,9267,jab,J@b,14,13,1,9,5,jab,1,3,449,4,50,31,171,443,73,731910,4,1
can,2510,can,k@n,35,27,8,21,14,can,1,3,459,4,168,64,267620,561421,146853,1242330385,4,1
paw,12573,paw,pc,19,15,4,11,8,paw,1,2,357,4,78,37,159,1030,39,2007280,3,1
rind,14837,rind,rYnd,10,8,2,9,1,rind,1,4,318,5,46,25,14,535,29,420816,5,1
chatter,2986,chatter,C@tX,13,10,3,9,4,chatter,2,4,394,8,24,9,238,1131,127,1773397,5,2
wick,19016,wick,wIk,26,23,3,16,10,wick,1,3,333,5,119,29,128,393,25,1224557,4,1
self,15382,self,sElf,7,5,2,4,3,self,1,4,496,5,40,14,722,64678,4827,112907357,5,1
zip,19313,zip,zIp,14,13,1,12,2,zip,1,3,446,4,52,23,389,1981,232,70559906,4,1
said,15075,said,sEd,21,17,4,16,5,said,1,3,519,5,84,31,56531,567945,105049,315601361,4,1
bladder,1885,bladder,bl@dX,2,1,1,1,1,bladder,2,5,429,8,10,4,202,1041,97,3621454,6,1
where,18932,where,hwEr,7,4,3,4,3,where,1,3,332,6,115,6,93341,258804,73309,360478571,4,1
seize,15375,seize,siz,22,17,5,9,13,seize,1,3,639,6,188,7,246,1716,411,1910081,4,1
hassle,7683,hassle,h@sL,10,9,1,7,3,hassle,2,5,534,7,56,5,133,671,100,3665939,6,1
felt,6319,felt,fElt,13,12,1,9,4,felt,1,4,420,5,41,22,6111,60477,10064,33323938,5,1
booze,2066,booze,buz,18,13,5,11,7,booze,1,3,493,6,144,11,558,851,158,1179144,4,1
dove,5216,dove,dov,16,14,2,7,9,dove,1,3,420,5,47,30,284,1708,117,3254883,4,1
verge,18436,verge,vRJ,9,7,2,5,4,verge,1,3,540,6,19,12,167,1845,414,1423819,4,1
gloss,7229,gloss,glcs,3,2,1,2,1,gloss,1,4,519,6,23,14,74,969,90,3430659,5,1
formal,6700,formal,formL,3,2,1,1,2,formal,2,6,429,7,8,5,424,10117,844,22274656,7,1
splatter,16142,splatter,spl@tX,3,1,2,2,1,splatter,2,6,533,9,5,3,44,137,20,293660,7,1
soccer,15924,soccer,sakX,6,5,1,3,3,soccer,2,4,438,7,43,0,640,5542,716,28648277,5,1
least,9756,least,list,12,9,3,9,3,least,1,4,579,5,46,19,10596,82255,17696,111230637,5,1
averse,1355,averse,xvRs,4,2,2,2,2,averse,2,4,530,6,6,6,15,372,31,426255,5,1
dreamer,5265,dreamer,drimX,3,1,2,1,2,dreamer,2,5,529,8,20,6,155,425,34,1395641,6,2
puppy,13969,puppy,p^pi,6,5,1,2,4,puppy,2,4,417,5,15,4,584,1295,268,6662994,5,2
shuttle,15644,shuttle,S^tL,5,4,1,1,4,shuttle,2,5,360,8,14,4,282,4531,1231,8441019,6,1
heap,7726,heap,hip,22,21,1,16,6,heap,1,3,351,5,69,16,249,1373,89,2806006,4,1
base,1576,base,bes,27,20,7,15,12,base,1,3,355,5,101,57,1804,24222,4264,81899289,4,1
maple,10433,maple,mepL,2,1,1,1,1,maple,2,5,396,6,12,14,165,2409,97,9704795,6,1
tack,16920,tack,t@k,37,27,10,23,14,tack,1,3,377,5,115,32,108,912,90,2548232,4,1
marshal,10486,marshal,marSL,4,3,1,1,3,marshal,2,6,472,8,26,7,900,1158,236,1909071,7,2
fully,6861,fully,fUli,9,7,2,8,1,fully,2,4,433,5,26,10,880,16324,2383,48617064,4,1
dress,5273,dress,drEs,9,6,3,5,4,dress,1,4,448,6,26,15,4447,15265,2432,27322995,5,1
sleeve,15800,sleeve,sliv,7,6,1,2,5,sleeve,1,4,657,7,20,2,286,2092,158,11445499,5,1
test,17167,test,tEst,18,14,4,14,4,test,1,4,419,5,52,29,4288,41727,6213,155012917,5,1
brought,2244,brought,brct,10,8,2,3,7,brought,1,4,363,8,33,6,8786,40456,9791,39794764,5,1
bent,1746,bent,bEnt,17,16,1,12,5,bent,1,4,342,5,71,44,368,6166,278,5074045,5,1
giggle,7158,giggle,gIgL,6,5,1,5,1,giggle,2,5,371,7,23,9,87,631,45,732656,6,1
essay,5858,essay,Ese,4,2,2,3,1,essay,2,3,368,6,25,5,313,5864,594,11750312,4,1
lax,9722,lax,l@ks,11,7,4,5,6,lax,1,4,492,4,102,40,87,805,175,2097303,5,1
fold,6616,fold,fold,12,10,2,10,2,fold,1,4,539,5,52,20,440,3766,318,9481593,5,1
gibbon,7150,gibbon,gIb|n,2,1,1,1,1,gibbon,2,5,363,7,22,4,12,121,20,481964,6,1
knack,9522,knack,n@k,20,19,1,15,5,knack,1,3,449,6,100,8,127,698,50,616898,4,1
noisy,11612,noisy,nOzi,3,2,1,2,1,noisy,2,4,463,5,7,3,257,1692,146,3722908,5,1
pantry,12357,pantry,p@ntri,3,2,1,2,1,pantry,2,6,486,5,5,7,89,853,64,1268228,5,2
dire,4947,dire,dYr,22,19,3,13,9,dire,2,3,379,5,87,29,112,1821,331,2304282,4,1
bless,1917,bless,blEs,6,4,2,1,5,bless,1,4,478,6,27,10,1788,1956,796,5481678,5,1
been,1678,been,bIn,27,25,2,19,8,been,1,3,529,5,146,32,88573,497421,140390,575029687,4,1
cocky,3377,cocky,kaki,11,9,2,5,6,cocky,2,4,391,5,62,6,210,472,63,364425,5,2
trench,17680,trench,trEnC,4,3,1,3,1,trench,1,5,405,7,11,6,157,1234,133,1709629,6,1
sneak,15890,sneak,snik,7,5,2,3,4,sneak,1,4,475,6,23,5,861,1882,424,2281170,5,1
pose,13350,pose,poz,21,16,5,12,9,pose,1,3,468,5,116,36,347,4311,649,5242620,4,1
tool,17478,tool,tul,23,20,3,15,8,tool,1,3,469,5,88,17,548,9630,928,65017834,4,1
crook,4215,crook,krUk,8,6,2,3,5,crook,1,4,337,6,26,12,289,711,119,1069614,5,1
wren,19196,wren,rEn,26,22,4,18,8,wren,1,3,313,5,138,17,19,944,13,1206315,4,1
caper,2580,caper,kepX,9,8,1,6,3,caper,2,4,333,6,48,19,90,213,17,485193,5,1
castor,2725,castor,k@stX,6,4,2,5,1,castor,2,5,478,7,50,9,67,831,186,971100,6,1
vital,18633,vital,vYtL,6,4,2,2,4,vital,2,5,388,6,20,13,396,7006,903,14168370,6,1
resigned,14667,resigned,rIzYnd,4,2,2,1,3,resigned,2,6,622,8,9,3,142,2893,739,2246288,6,3
spur,16203,spur,spR,11,5,6,3,8,spur,1,3,471,5,45,15,73,1368,195,2171795,4,1
actor,207,actor,@ktX,5,2,3,4,1,actor,2,4,416,6,25,9,1343,9611,3815,16283217,5,2
force,6650,force,fors,16,14,2,7,9,force,1,4,478,6,62,13,3604,45496,10829,79207090,5,1
hint,7915,hint,hInt,10,9,1,7,3,hint,1,4,347,5,35,22,469,3685,464,6007484,5,1
bomber,2027,bomber,bamX,3,2,1,1,2,bomber,2,4,381,7,44,10,214,1570,631,2507571,5,2
gaze,7043,gaze,gez,20,17,3,12,8,gaze,1,3,505,5,145,28,129,6703,69,2120279,4,1
torque,17509,torque,tork,11,8,3,4,7,torque,1,4,357,4,52,0,37,1024,18,4264924,5,1
veal,18364,veal,vil,20,17,3,18,2,veal,1,3,386,5,127,20,181,581,34,1002995,4,1
mode,10994,mode,mod,24,20,4,15,9,mode,1,3,469,5,76,29,263,5915,434,67328532,4,1
zeal,19294,zeal,zil,15,13,2,14,1,zeal,1,3,649,5,114,15,31,819,64,1084831,4,1
inch,8529,inch,InC,8,1,7,6,2,inch,1,3,429,5,33,18,631,18072,831,35632579,4,1
cask,2709,cask,k@sk,7,5,2,4,3,cask,1,4,455,5,34,17,6,104,7,484364,5,1
informed,8778,informed,Informd,3,2,1,1,2,informed,2,7,582,8,4,3,633,7984,1011,38215335,7,3
jew,9325,Jew,Ju,26,22,4,18,8,jew,1,2,509,4,149,26,549,2212,294,2805498,3,
plank,13100,plank,pl@Gk,7,5,2,6,1,plank,1,5,430,6,14,15,104,947,115,1265284,6,1
sheet,15554,sheet,Sit,23,21,2,16,7,sheet,1,3,465,6,90,9,592,7948,491,44296091,4,1
major,10300,major,meJX,4,2,2,2,2,major,2,4,502,6,32,5,5343,61820,12480,122596391,5,1
boat,1982,boat,bot,32,27,5,22,10,boat,1,3,317,5,117,26,4885,15136,1895,34104237,4,1
mold,11027,mold,mold,18,14,4,12,6,mold,1,4,397,5,49,27,219,2319,364,5937613,5,1
dour,5215,dour,dWr,13,10,3,6,7,dour,2,3,350,5,63,24,8,308,17,191669,4,1
snug,15914,snug,sn^g,6,5,1,2,4,snug,1,4,482,5,8,5,73,738,28,844329,5,1
dabble,4389,dabble,d@bL,8,7,1,5,3,dabble,2,5,389,7,24,6,29,92,3,147951,6,1
holy,7968,holy,holi,8,6,2,4,4,holy,2,4,558,5,95,16,3475,8768,1118,23693122,5,1
worthy,19184,worthy,wRDi,2,1,1,1,1,worthy,2,4,490,6,9,4,527,3912,397,6907063,5,2
brig,2190,brig,brIg,10,8,2,4,6,brig,1,4,301,5,32,15,155,501,166,805525,5,1
glad,7186,glad,gl@d,9,5,4,4,5,glad,1,4,395,5,24,15,8740,9592,3480,14587046,5,1
mist,10961,mist,mIst,16,11,5,10,6,mist,1,4,499,5,51,30,181,2155,65,3736454,5,1
who,19000,who,hu,31,25,6,19,12,who,1,2,402,4,178,16,113370,644483,171311,630937884,3,1
scan,15203,scan,sk@n,7,5,2,2,5,scan,1,4,522,5,31,17,480,2742,300,18174748,5,1
versed,18457,versed,vRst,10,8,2,8,2,versed,1,4,543,6,35,4,56,346,43,553351,5,2
swell,16813,swell,swEl,10,8,2,6,4,swell,1,4,530,6,31,15,1061,1346,125,2214467,5,1
badge,1429,badge,b@J,13,12,1,2,11,badge,1,3,413,6,42,8,778,1369,260,6145470,4,1
burial,2344,burial,bEriL,3,1,2,1,2,burial,3,6,444,7,15,3,242,1796,187,4258160,7,2
rover,14958,rover,rovX,6,3,3,3,3,rover,2,4,400,6,38,28,170,1454,187,8538281,5,2
screw,15283,screw,skru,4,3,1,3,1,screw,1,4,520,6,14,5,1912,2370,290,8178278,5,1
child,3056,child,CYld,4,3,1,3,1,child,1,4,418,6,18,7,8040,75235,16801,119753056,5,1
glut,7241,glut,gl^t,6,4,2,2,4,glut,1,4,384,5,17,9,7,328,48,578220,5,1
fiery,6387,fiery,fYri,6,3,3,5,1,fiery,3,4,583,5,13,7,103,1432,159,1838655,4,1
urge,18220,urge,RJ,11,6,5,7,4,urge,1,2,519,5,46,11,339,3776,630,5195810,3,1
ban,1482,ban,b@n,30,25,5,17,13,ban,1,3,276,4,144,60,160,6348,1718,11944578,4,1
upon,18178,upon,xpcn,3,2,1,2,1,upon,2,4,472,3,9,3,3199,35602,3963,103923032,5,1
dream,5263,dream,drim,7,3,4,3,4,dream,1,4,376,6,24,10,6798,18286,3790,33535334,5,1
plus,13185,plus,pl^s,6,5,1,1,5,plus,1,4,418,5,33,14,2399,22795,5076,94737923,5,1
moron,11150,moron,moran,2,1,1,1,1,moron,2,5,454,6,19,22,754,312,44,1017782,6,1
cider,3166,cider,sYdX,8,5,3,5,3,cider,2,4,518,4,69,8,97,1206,64,1743446,5,1
van,18313,van,v@n,12,11,1,11,1,van,1,3,543,4,90,41,2641,16149,3909,55156256,4,1
rove,14957,rove,rov,26,20,6,13,13,rove,1,3,502,5,84,29,58,1816,1329,2059348,4,1
best,1770,best,bEst,23,20,3,20,3,best,1,4,490,5,64,37,20623,111604,22450,371877082,5,1
hulk,8096,hulk,h^lk,5,4,1,2,3,hulk,1,4,379,5,21,11,208,407,77,2113535,5,1
bay,1621,bay,be,35,22,13,17,18,bay,1,2,262,4,168,46,1236,19167,2111,78975506,3,1
needy,11466,needy,nidi,4,3,1,1,3,needy,2,4,449,5,44,11,155,1078,121,1636137,5,2
tuber,17807,tuber,tubX,5,4,1,1,4,tuber,2,4,391,6,27,19,3,123,4,249743,5,1
snore,15907,snore,snor,9,6,3,6,3,snore,1,4,539,5,22,10,82,207,26,294125,5,1
form,6699,form,form,15,11,4,4,11,form,1,4,409,5,43,22,2180,45078,4500,201400893,5,1
binge,1837,binge,bInJ,5,4,1,3,2,binge,1,4,380,6,25,22,47,849,122,850412,5,1
clove,3327,clove,klov,8,6,2,1,7,clove,1,4,482,6,23,14,26,846,16,699197,5,1
freeze,6790,freeze,friz,7,5,2,2,5,freeze,1,4,539,7,70,5,1640,4311,691,5527632,5,1
carry,2685,carry,k@ri,19,15,4,9,10,carry,2,4,377,6,126,31,3361,17736,3255,33056477,5,1
fit,6465,fit,fIt,28,25,3,20,8,fit,1,3,235,4,79,32,2937,19475,2436,42360098,4,1
thrive,17303,thrive,TrYv,5,4,1,3,2,thrive,1,4,427,7,7,4,89,1795,190,1823247,5,1
hardy,7656,hardy,hardi,5,3,2,1,4,hardy,2,5,399,6,24,11,188,2674,240,4748962,6,1
shack,15508,shack,S@k,22,20,2,16,6,shack,1,3,447,6,108,20,288,1208,90,2741096,4,1
booty,2065,booty,buti,7,3,4,3,4,booty,2,4,419,5,54,10,313,530,62,14220912,5,1
chef,3011,chef,SEf,8,6,2,4,4,chef,1,3,441,5,57,17,606,6096,1229,9722545,4,1
joy,9382,joy,JO,9,8,1,4,5,joy,1,2,287,4,63,30,1456,8312,1757,16324106,3,1
beret,1755,beret,bXe,2,1,1,1,1,beret,2,5,428,6,41,21,48,363,58,330199,6,1
miner,10862,miner,mYnX,9,8,1,4,5,miner,2,4,448,6,74,46,74,867,223,2265353,5,2
rope,14917,rope,rop,27,23,4,15,12,rope,1,3,395,5,116,35,1158,4159,429,6948203,4,1
crumple,4254,crumple,kr^mpL,2,1,1,1,1,crumple,2,7,539,8,7,5,8,101,6,77197,8,1
reach,14292,reach,riC,20,17,3,10,10,reach,1,3,513,6,102,18,2903,24496,4000,35690985,4,1
kite,9517,kite,kYt,20,19,1,19,1,kite,1,3,316,5,81,21,117,703,49,2809317,4,1
jam,9284,jam,J@m,16,15,1,12,4,jam,1,3,451,4,72,35,690,2827,328,12474057,4,1
dryer,5317,dryer,drYX,7,5,2,4,3,dryer,2,4,418,6,37,13,231,996,99,5592001,5,
caddy,2414,caddy,k@di,12,9,3,3,9,caddy,2,4,505,6,59,13,145,260,21,1095654,5,2
drug,5309,drug,dr^g,8,6,2,3,5,drug,1,4,347,5,17,9,2306,37213,8980,79428645,5,1
hunch,8127,hunch,h^nC,9,7,2,5,4,hunch,1,4,454,6,20,9,383,631,128,330785,5,1
fork,6695,fork,fork,13,10,3,3,10,fork,1,4,304,5,61,20,450,3993,203,7843006,5,1
with,19100,with,wIT,13,12,1,4,9,with,1,3,306,5,56,13,257465,1712763,334429,3183141788,4,1
grow,7465,grow,gro,18,10,8,9,9,grow,1,3,362,5,82,20,3034,18931,3196,26701749,4,1
plaster,13109,plaster,pl@stX,5,2,3,2,3,plaster,2,6,503,8,12,9,134,1247,58,1811197,7,1
fuel,6855,fuel,fyul,9,6,3,4,5,fuel,1,4,449,5,22,15,876,16237,2656,39148291,5,1
hooey,8002,hooey,hui,8,6,2,2,6,hooey,2,3,420,4,85,12,43,52,12,53374,3,
comet,3502,comet,kamxt,4,2,2,1,3,comet,2,5,482,6,14,7,157,1913,156,3125758,6,2
foal,6605,foal,fol,30,28,2,24,6,foal,1,3,479,5,114,14,14,96,2,552193,4,1
ghost,7144,ghost,gost,10,9,1,9,1,ghost,1,4,435,6,31,5,1866,4017,369,14501179,5,1
foul,6737,foul,fWl,17,14,3,16,1,foul,1,3,655,5,57,14,738,2438,419,5268620,4,1
stage,16249,stage,steJ,11,8,3,2,9,stage,1,4,517,6,21,16,2324,25716,5028,52519007,5,1
rob,14879,rob,rab,17,16,1,14,3,rob,1,3,452,4,85,42,1188,4730,1441,17021598,4,1
wake,18766,wake,wek,26,22,4,18,8,wake,1,3,354,5,90,31,5366,10784,2244,14121621,4,1
dunce,5356,dunce,d^ns,4,3,1,3,1,dunce,1,4,469,5,26,10,25,55,8,117172,5,1
inner,8845,inner,InX,6,2,4,3,3,inner,2,3,280,6,49,16,507,9619,1187,17552078,4,1
steeple,16325,steeple,stipL,4,2,2,3,1,steeple,2,6,595,8,14,5,21,188,8,376906,7,1
belly,1726,belly,bEli,11,10,1,5,6,belly,2,4,315,6,128,18,794,4872,374,7346775,5,2
hail,7576,hail,hel,30,26,4,25,5,hail,1,3,378,5,143,35,613,1374,257,2796792,4,1
has,7679,has,h@z,20,18,2,8,12,has,1,3,473,4,90,58,57830,657027,172721,1046332086,4,1
paper,12366,paper,pepX,9,7,2,5,4,paper,2,4,402,6,36,18,5271,36023,3905,134945076,5,1
snip,15899,snip,snIp,11,8,3,4,7,snip,1,4,472,5,19,10,108,311,23,1193439,5,1
stub,16512,stub,st^b,11,7,4,3,8,stub,1,4,475,5,30,11,49,324,13,2185336,5,1
dark,4441,dark,dark,10,8,2,7,3,dark,1,4,382,5,38,23,4519,37730,2636,50687578,5,1
skate,15744,skate,sket,11,10,1,5,6,skate,1,4,519,6,31,10,301,958,130,4934424,5,1
gem,7055,gem,JEm,9,8,1,6,3,gem,1,3,361,4,61,20,126,823,63,6156692,4,1
wrestle,19198,wrestle,rEsL,8,7,1,5,3,wrestle,2,5,469,8,39,5,176,689,139,718785,6,1
pay,12575,pay,pe,33,20,13,17,16,pay,1,2,292,4,147,47,12985,51421,14803,129203391,3,2
rat,14252,rat,r@t,37,31,6,23,14,rat,1,3,368,4,113,60,1663,2717,412,10634958,4,1
wad,18734,wad,wad,22,17,5,17,5,wad,1,3,337,4,70,38,89,570,24,577013,4,1
swing,16824,swing,swIG,12,10,2,5,7,swing,1,4,473,6,28,18,1325,6943,993,12736938,5,1
ham,7607,ham,h@m,26,24,2,14,12,ham,1,3,464,4,105,56,591,2215,283,6719894,4,1
gait,6943,gait,get,28,24,4,19,9,gait,1,3,304,5,84,20,16,1088,15,822923,4,1
trod,17755,trod,trad,7,5,2,2,5,trod,1,4,449,5,19,8,23,196,7,182743,5,1
grating,7375,grating,gretIG,2,1,1,1,1,grating,2,6,377,8,14,12,16,346,13,894474,7,2
innings,8849,innings,InIGz,2,1,1,1,1,innings,2,5,395,7,7,2,49,1966,57,2204569,5,2
us,18230,us,^s,10,5,5,9,1,us,1,2,394,3,66,52,86478,256306,108542,1229112622,3,1
hidden,7885,hidden,hIdN,6,5,1,5,1,hidden,2,5,346,4,32,8,1085,10808,2924,26531973,4,1
