lower,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP
song,song,scG,11,10,1,8,3,song,1,3,507,5,59,35,4778,17778,5535,65843143,4
diva,diva,divx,1,1,0,1,0,diva,2,4,457,5,21,15,78,662,106,2719065,5
start,start,start,7,4,3,2,5,start,1,5,474,6,32,18,17345,62495,18955,161934195,6
amuse,amuse,xmyuz,3,2,1,3,0,amuse,2,5,668,6,6,5,133,340,23,556542,6
construct,construct,kxnstr^kt,1,1,0,0,1,construct,2,9,583,10,4,3,74,4592,156,8472340,10
punch,punch,p^nC,8,7,1,6,2,punch,1,4,370,6,14,8,1514,3872,631,6873557,5
prod,prod,prad,9,7,2,4,5,prod,1,4,443,5,27,17,35,318,47,3500701,5
prospect,prospect,praspEkt,1,0,1,0,1,prospect,2,8,678,9,2,3,178,5197,810,7106121,9
ninety,ninety,nYnti,1,0,1,0,1,ninety,2,5,500,7,5,2,142,3069,720,2587226,6
lest,lest,lEst,23,20,3,17,6,lest,1,4,444,5,59,37,100,1157,74,1921747,5
repeat,repeat,rIpit,3,2,1,1,2,repeat,2,5,413,7,9,5,1684,7027,1122,14026113,6
medley,medley,mEdli,2,2,0,0,2,medley,2,5,432,6,20,9,32,536,44,1717954,5
spry,spry,sprY,5,2,3,1,4,spry,1,4,566,4,8,5,32,141,9,217147,5
conviction,conviction,kxnvIkS|n,1,1,0,1,0,conviction,3,9,613,11,2,2,303,4315,1094,5818769,10
glance,glance,gl@ns,3,1,2,1,2,glance,1,5,569,7,10,5,175,4932,165,15569875,6
came,came,kem,24,21,3,15,9,came,1,3,282,5,97,33,23650,106661,28026,73291509,4
certain,certain,sRtN,4,4,0,3,1,certain,2,5,537,8,29,2,4354,42058,9555,73108213,6
native,native,netIv,1,1,0,1,0,native,2,5,442,7,2,2,421,20238,1038,35161852,6
tank,tank,t@Gk,16,11,5,11,5,tank,1,4,327,5,48,29,1306,7358,1306,22073920,5
factor,factor,f@ktX,2,0,2,1,1,factor,2,5,512,7,19,4,370,18689,2870,38741396,6
harm,harm,harm,9,8,1,3,6,harm,1,4,440,5,40,30,1621,7124,1524,10026586,5
murmur,murmur,mRmX,4,4,0,1,3,murmur,2,4,609,7,19,1,48,706,19,472146,5
mansion,mansion,m@nC|n,1,1,0,1,0,mansion,2,6,537,8,8,5,329,2842,464,4019687,5
duck,duck,d^k,25,22,3,13,12,duck,1,3,445,5,98,29,1263,3639,615,8287612,4
emigrate,emigrate,Emxgret,2,1,1,1,1,emigrate,3,7,652,9,4,5,14,205,26,213644,8
apathetic,apathetic,@pxTEtIk,1,0,1,1,0,apathetic,4,8,530,6,1,1,18,212,38,302358,5
sculptor,sculptor,sk^lptX,1,1,0,0,1,sculptor,2,7,544,9,4,1,46,850,65,963733,8
neck,neck,nEk,13,13,0,10,3,neck,1,3,432,5,86,23,3035,15430,1361,17356090,4
lucent,lucent,lusNt,1,0,1,0,1,lucent,2,6,534,7,0,1,5,187,45,1766342,6
memo,memo,mEmo,2,2,0,0,2,memo,2,4,449,5,18,13,337,2328,867,6710945,5
torque,torque,tork,11,8,3,4,7,torque,1,4,357,4,52,0,37,1024,18,4264924,5
fixture,fixture,fIksCX,1,1,0,1,0,fixture,2,6,668,8,5,2,32,876,97,2633227,7
zoo,zoo,zu,20,19,1,18,2,zoo,1,2,534,4,129,21,696,2842,528,11593039,3
myth,myth,mIT,15,14,1,8,7,myth,1,3,361,5,53,7,352,4390,471,6054397,4
sprawl,sprawl,sprcl,1,1,0,1,0,sprawl,1,5,579,7,14,3,7,638,57,985396,6
ripe,ripe,rYp,20,17,3,10,10,ripe,1,3,328,5,69,27,213,2311,162,9136382,4
faction,faction,f@kS|n,4,1,3,4,0,faction,2,6,538,8,6,4,58,977,157,1631371,7
giddy,giddy,gIdi,3,3,0,2,1,giddy,2,4,469,5,31,5,91,706,70,483433,5
axe,axe,@ks,9,4,5,6,3,axe,1,3,403,4,93,28,249,714,77,2777022,4
gun,gun,g^n,20,18,2,14,6,gun,1,3,278,4,112,34,10873,20046,5799,22838661,4
eighteen,eighteen,etin,1,0,1,0,1,eighteen,2,4,599,9,12,1,310,3222,394,3094087,5
term,term,tRm,13,13,0,9,4,term,1,3,489,5,39,10,890,42461,8580,116284146,4
paddy,paddy,p@di,7,6,1,3,4,paddy,2,4,438,6,31,11,134,503,78,1668962,5
hotel,hotel,hotEl,1,1,0,1,0,hotel,2,5,491,6,5,9,5264,20040,3269,297980524,6
formality,formality,form@l|ti,1,1,0,1,0,formality,4,9,537,9,2,1,110,491,42,414604,10
chic,chic,Sik,24,21,3,17,7,chic,1,3,385,5,110,8,119,1681,142,3735613,4
chick,chick,CIk,23,22,1,16,7,chick,1,3,358,6,66,15,1334,1506,193,7776742,4
wrinkle,wrinkle,rIGkL,5,3,2,4,1,wrinkle,2,6,517,8,25,4,96,675,86,1551149,7
stint,stint,stInt,3,2,1,2,1,stint,1,5,526,6,14,12,38,1080,69,856043,6
crawl,crawl,krcl,9,7,2,6,3,crawl,1,4,417,6,48,10,614,1865,217,2859784,5
gent,gent,JEnt,17,14,3,12,5,gent,1,4,391,5,57,32,82,175,31,1074241,5
innings,innings,InIGz,2,1,1,1,1,innings,2,5,395,7,7,2,49,1966,57,2204569,5
parody,parody,p@rxdi,1,1,0,0,1,parody,3,6,525,6,3,4,36,742,105,1829413,7
hangar,hangar,h@GX,6,4,2,0,6,hangar,2,4,418,7,27,5,173,442,59,795985,5
guitar,guitar,g|tar,1,1,0,1,0,guitar,2,5,521,7,4,2,795,4245,795,37108254,6
thermal,thermal,TRmL,1,1,0,1,0,thermal,2,5,411,7,7,1,112,1878,123,14187566,5
cinema,cinema,sInxmx,1,0,1,0,1,cinema,3,6,489,7,3,3,198,1965,130,18180242,7
emanation,emanation,EmxneS|n,1,0,1,1,0,emanation,4,8,590,10,1,1,5,40,6,94942,9
goner,goner,gcnX,2,1,1,0,2,goner,2,4,464,5,38,18,78,80,21,82437,5
quarry,quarry,kwcri,2,2,0,1,1,quarry,2,5,453,7,15,2,78,767,32,1960848,6
vinyl,vinyl,vYnL,7,5,2,3,4,vinyl,2,5,423,5,12,1,63,1072,65,17011205,5
cyclic,cyclic,sYklIk,1,0,1,0,1,cyclic,2,6,522,7,3,0,9,198,3,2199045,7
custom,custom,k^stxm,2,0,2,1,1,custom,2,6,502,7,3,1,316,4614,230,66595625,7
spore,spore,spor,13,10,3,6,7,spore,1,4,555,6,40,14,7,172,12,589962,5
conscience,conscience,kanC|ns,1,0,1,0,1,conscience,2,7,659,11,1,1,709,3023,617,3577738,6
truth,truth,truT,5,3,2,1,4,truth,1,4,400,6,22,6,9801,26432,7161,35350927,5
picture,picture,pIkCX,2,1,1,2,0,picture,2,5,494,8,12,2,7061,28392,7439,124127951,6
map,map,m@p,20,20,0,13,7,map,1,3,395,4,73,44,1623,11585,1608,309679646,4
one,one,w^n,18,17,1,17,1,one,1,3,339,4,90,40,156684,742881,177330,993546809,4
thug,thug,T^g,12,12,0,10,2,thug,1,3,378,5,27,11,178,459,102,1607469,4
virus,virus,vYr|s,2,1,1,2,0,virus,2,5,457,6,5,3,964,6519,1719,36295812,6
geese,geese,gis,8,7,1,8,0,geese,1,3,413,6,73,18,81,1006,94,1299115,4
scribe,scribe,skrYb,2,1,1,1,1,scribe,1,5,650,7,5,4,13,282,12,1030833,6
mirth,mirth,mRT,13,11,2,10,3,mirth,1,3,484,5,55,10,11,211,12,387672,4
opener,opener,opxnX,1,0,1,0,1,opener,3,5,487,7,4,2,173,1568,113,3239644,6
must,must,m^st,16,12,4,10,6,must,1,4,427,5,40,27,35661,103754,12983,292787867,5
schematic,schematic,skIm@tIk,1,0,1,1,0,schematic,3,8,738,8,0,0,58,426,5,2085298,7
padding,padding,p@dIG,4,4,0,4,0,padding,2,5,385,8,11,6,49,561,30,2890936,6
locus,locus,lok|s,3,2,1,2,1,locus,2,5,516,6,14,8,17,1240,4,3009222,6
stream,stream,strim,6,5,1,1,5,stream,1,5,624,7,22,5,410,7055,462,38598566,6
faze,faze,fez,23,21,2,14,9,faze,1,3,549,5,133,20,22,123,12,138560,4
outlay,outlay,Wtle,2,1,1,0,2,outlay,2,4,415,7,5,3,6,181,10,926485,5
fool,fool,ful,18,17,1,17,1,fool,1,3,462,5,88,16,4556,4403,584,7569582,4
immigration,immigration,ImxgreS|n,1,1,0,1,0,immigration,4,9,569,9,2,0,128,10643,3396,15879176,7
ellipse,ellipse,xlIps,1,1,0,1,0,ellipse,2,5,427,7,19,3,0,128,18,866759,6
solidly,solidly,salxdli,2,1,1,1,1,solidly,3,7,651,6,0,1,13,683,99,536571,6
manage,manage,m@nIJ,3,2,1,1,2,manage,2,5,447,7,8,6,1095,8449,1087,36439435,6
hood,hood,hUd,13,13,0,11,2,hood,1,3,479,5,35,20,785,4172,603,11000354,4
centralize,centralize,sEntrxlYz,1,0,1,0,1,centralize,3,9,872,11,2,1,1,88,10,214248,10
sung,sung,s^G,20,16,4,13,7,sung,1,3,619,5,48,30,178,1566,297,3242040,4
erratic,erratic,Ir@tIk,1,1,0,1,0,erratic,3,6,531,8,1,0,85,896,120,716141,4
heal,heal,hil,29,26,3,23,6,heal,1,3,370,5,154,28,578,2422,556,3771118,4
stirrup,stirrup,stRxp,1,0,1,1,0,stirrup,2,5,507,8,5,1,12,122,7,225827,6
tawny,tawny,tcni,5,5,0,4,1,tawny,2,4,359,5,61,1,33,237,4,602308,5
surgery,surgery,sRJXi,1,1,0,1,0,surgery,3,5,534,7,2,0,1651,11501,2675,40026384,6
query,query,kwIri,5,3,2,3,2,query,2,5,519,5,6,2,29,722,32,31285263,5
runaway,runaway,r^nxwe,1,0,1,0,1,runaway,3,6,426,8,4,3,207,1265,243,1809362,7
steed,steed,stid,10,9,1,3,7,steed,1,4,490,6,49,17,130,254,16,701658,5
deal,deal,dil,29,24,5,22,7,deal,1,3,439,5,159,37,13330,49762,18165,63831872,4
slang,slang,sl@G,11,10,1,2,9,slang,1,4,534,5,20,13,71,572,85,1819478,5
shrank,shrank,Sr@Gk,8,6,2,8,0,shrank,1,5,547,5,19,4,19,616,33,227485,4
employment,employment,ImplOmxnt,1,1,0,1,0,employment,3,9,548,11,3,2,272,9244,940,79105509,10
mitre,mitre,mYtX,11,10,1,7,4,mitre,2,5,401,5,7,9,2,52,4,714477,5
halve,halve,h@v,17,16,1,5,12,halve,1,3,448,6,45,10,7,222,4,242617,4
street,street,strit,6,5,1,1,5,street,1,5,412,7,23,6,7557,56313,12122,149137640,6
entity,entity,En|ti,1,0,1,1,0,entity,3,6,659,7,3,2,86,2485,287,17518443,7
daisy,daisy,dezi,6,5,1,4,2,daisy,2,4,466,6,32,6,689,1463,144,5125361,5
hatter,hatter,h@tX,11,9,2,8,3,hatter,2,4,505,7,47,24,23,97,18,294189,5
stoic,stoic,stoIk,4,1,3,0,4,stoic,2,5,519,6,5,2,21,453,49,275967,6
hurt,hurt,hRt,23,21,2,15,8,hurt,1,3,443,5,101,23,12564,18791,5882,12940340,4
proceed,proceed,prosid,2,1,1,1,1,proceed,2,6,748,8,4,3,1066,3376,737,11314884,7
mimetic,mimetic,mxmEtIk,1,1,0,1,0,mimetic,3,7,469,5,0,0,2,285,0,145902,5
cone,cone,kon,35,30,5,24,11,cone,1,3,509,5,165,47,149,1561,125,4434449,4
but,but,b^t,35,30,5,21,14,but,1,3,289,4,101,40,225291,1149758,330971,999908295,4
soap,soap,sop,21,17,4,16,5,soap,1,3,400,5,63,12,775,3324,513,12486613,4
visitor,visitor,vIz|tX,1,0,1,0,1,visitor,3,6,498,8,5,2,446,3619,277,20159943,7
rupee,rupee,rupi,2,1,1,0,2,rupee,2,4,499,6,40,6,2,90,6,2831536,5
grove,grove,grov,13,11,2,4,9,grove,1,4,431,6,40,21,197,3287,209,15189493,5
deny,deny,dInY,6,3,3,0,6,deny,2,4,714,5,13,19,1091,5105,1289,7211538,5
elector,elector,xlEktX,1,0,1,0,1,elector,3,6,456,8,10,5,0,93,47,473844,7
obtain,obtain,xbten,2,0,2,2,0,obtain,2,5,496,7,5,1,190,5657,330,30672052,6
restitution,restitution,rEst|tuS|n,1,1,0,1,0,restitution,4,10,736,9,0,1,28,431,65,1282669,8
undo,undo,^ndu,2,2,0,0,2,undo,2,4,405,5,10,13,223,866,172,6202977,5
mighty,mighty,mYti,2,1,1,0,2,mighty,2,4,649,6,28,4,1355,2408,261,7270974,5
poster,poster,postX,7,4,3,4,3,poster,2,5,456,7,17,24,305,2564,402,41897879,6
sulk,sulk,s^lk,7,5,2,4,3,sulk,1,4,575,5,18,17,38,81,4,95404,5
sticky,sticky,stIki,2,1,1,1,1,sticky,2,5,579,6,20,6,292,2056,159,5700342,6
mitt,mitt,mIt,33,27,6,23,10,mitt,1,3,321,5,99,23,70,3567,2815,693498,4
mate,mate,met,28,26,2,19,9,mate,1,3,394,5,110,52,1491,3766,815,9736872,4
tonic,tonic,tanIk,5,5,0,5,0,tonic,2,5,366,6,14,12,195,633,35,1393402,6
studied,studied,st^did,1,0,1,0,1,studied,2,6,549,7,6,2,577,11061,958,12881982,6
broker,broker,brokX,1,0,1,0,1,broker,2,5,544,7,29,15,185,2189,365,13865583,6
awe,awe,c,20,4,16,15,5,awe,1,1,366,4,99,32,134,1850,183,2250899,2
sue,sue,su,34,26,8,20,14,sue,1,2,449,4,169,50,1498,4685,1247,11090997,3
lessen,lessen,lEsN,6,5,1,2,4,lessen,2,5,580,7,44,11,30,839,86,1087324,6
growth,growth,groT,6,5,1,0,6,growth,1,4,426,7,33,2,329,32886,4033,79998686,5
treasury,treasury,trEZXi,1,0,1,0,1,treasury,3,6,469,9,8,2,194,4800,1555,9167640,7
tier,tier,tIr,29,27,2,23,6,tier,1,3,401,5,66,30,54,1627,194,7089892,4
dislike,dislike,dIslYk,1,1,0,1,0,dislike,2,6,748,8,2,2,200,1247,242,2025443,7
censure,censure,sEnCX,5,4,1,2,3,censure,2,5,553,8,13,3,8,328,55,452851,6
memory,memory,mEmXi,2,1,1,2,0,memory,3,5,487,6,12,2,2477,19130,2062,140484503,6
written,written,rItN,8,6,2,5,3,written,2,5,479,5,59,4,2247,26388,5182,98056850,6
nineteen,nineteen,nYntin,1,0,1,0,1,nineteen,2,6,575,9,5,0,169,1770,316,1454202,7
oppression,oppression,xprES|n,1,1,0,1,0,oppression,3,7,572,11,3,1,76,1931,205,1770635,8
physical,physical,fIzIkL,2,1,1,0,2,physical,3,7,541,9,2,1,1386,36212,2863,64091252,8
diarrhoea,diarrhoea,dYXix,1,1,0,1,0,diarrhoea,4,5,559,7,3,1,19,60,1,598810,6
unduly,unduly,^nduli,1,1,0,1,0,unduly,3,6,578,6,1,1,24,413,39,683166,5
within,within,wItIn,1,1,0,0,1,within,2,5,417,7,4,1,3017,77592,9829,261396179,5
boulder,boulder,boldX,5,3,2,3,2,boulder,2,5,495,8,32,8,106,3563,397,6562262,6
last,last,l@st,14,12,2,12,2,last,1,4,502,5,51,33,36878,193855,52414,417620476,5
biscuit,biscuit,bIsk|t,2,1,1,2,0,biscuit,2,6,421,8,4,1,191,458,33,1724569,7
leapt,leapt,lipt,4,2,2,1,3,leapt,1,4,509,5,23,4,45,949,39,415235,5
advert,advert,@dvRt,2,2,0,0,2,advert,2,5,477,7,3,4,13,34,3,5431594,6
chancel,chancel,C@nsL,6,3,3,2,4,chancel,2,6,550,8,11,8,0,37,0,197855,7
yen,yen,yEn,20,19,1,17,3,yen,1,3,609,4,87,38,312,1013,171,5796042,4
sweep,sweep,swip,9,7,2,4,5,sweep,1,4,455,6,25,8,485,2772,402,3624118,5
browse,browse,brWz,8,6,2,3,5,browse,1,4,443,7,38,11,30,634,32,128742720,5
gave,gave,gev,18,16,2,10,8,gave,1,3,471,5,48,31,12428,47687,9825,36576902,4
guess,guess,gEs,11,9,2,9,2,guess,1,3,378,6,59,10,23153,27152,14120,28747353,4
